Source,Target,Weight,Label,Type
3,692,1,Año,Dirigido
3,693,1,Año,Dirigido
3,694,1,Año,Dirigido
3,695,1,Año,Dirigido
3,700,1,Año,Dirigido
3,701,1,Año,Dirigido
3,704,1,Año,Dirigido
3,707,1,Año,Dirigido
3,709,1,Año,Dirigido
3,712,1,Año,Dirigido
3,719,1,Año,Dirigido
3,720,1,Año,Dirigido
3,733,1,Año,Dirigido
3,735,1,Año,Dirigido
3,736,1,Año,Dirigido
3,737,1,Año,Dirigido
3,743,1,Año,Dirigido
3,747,1,Año,Dirigido
3,748,1,Año,Dirigido
3,753,1,Año,Dirigido
3,754,1,Año,Dirigido
3,763,1,Año,Dirigido
3,765,1,Año,Dirigido
3,768,1,Año,Dirigido
3,771,1,Año,Dirigido
3,772,1,Año,Dirigido
3,774,1,Año,Dirigido
3,780,1,Año,Dirigido
3,783,1,Año,Dirigido
3,790,1,Año,Dirigido
3,794,1,Año,Dirigido
3,795,1,Año,Dirigido
3,798,1,Año,Dirigido
3,809,1,Año,Dirigido
3,811,1,Año,Dirigido
3,813,1,Año,Dirigido
3,814,1,Año,Dirigido
3,820,1,Año,Dirigido
3,824,1,Año,Dirigido
3,826,1,Año,Dirigido
3,827,1,Año,Dirigido
3,828,1,Año,Dirigido
3,829,1,Año,Dirigido
3,882,1,Año,Dirigido
3,883,1,Año,Dirigido
3,884,1,Año,Dirigido
3,885,1,Año,Dirigido
3,887,1,Año,Dirigido
3,889,1,Año,Dirigido
3,890,1,Año,Dirigido
3,891,1,Año,Dirigido
3,892,1,Año,Dirigido
3,893,1,Año,Dirigido
3,894,1,Año,Dirigido
3,895,1,Año,Dirigido
3,897,1,Año,Dirigido
3,898,1,Año,Dirigido
3,899,1,Año,Dirigido
3,901,1,Año,Dirigido
3,905,1,Año,Dirigido
3,906,1,Año,Dirigido
3,907,1,Año,Dirigido
3,908,1,Año,Dirigido
3,910,1,Año,Dirigido
3,912,1,Año,Dirigido
3,913,1,Año,Dirigido
3,914,1,Año,Dirigido
3,915,1,Año,Dirigido
3,916,1,Año,Dirigido
3,919,1,Año,Dirigido
3,924,1,Año,Dirigido
3,938,1,Año,Dirigido
3,952,1,Año,Dirigido
3,964,1,Año,Dirigido
3,1006,1,Año,Dirigido
3,1007,1,Año,Dirigido
3,1008,1,Año,Dirigido
3,1010,1,Año,Dirigido
3,1011,1,Año,Dirigido
3,1013,1,Año,Dirigido
3,1014,1,Año,Dirigido
3,1016,1,Año,Dirigido
3,1017,1,Año,Dirigido
3,1018,1,Año,Dirigido
3,1021,1,Año,Dirigido
3,1022,1,Año,Dirigido
3,1024,1,Año,Dirigido
3,1026,1,Año,Dirigido
3,1029,1,Año,Dirigido
3,1031,1,Año,Dirigido
3,1032,1,Año,Dirigido
3,1033,1,Año,Dirigido
3,1034,1,Año,Dirigido
3,1036,1,Año,Dirigido
3,1038,1,Año,Dirigido
3,1039,1,Año,Dirigido
3,1040,1,Año,Dirigido
3,1042,1,Año,Dirigido
3,1044,1,Año,Dirigido
3,1054,1,Año,Dirigido
3,1055,1,Año,Dirigido
3,1057,1,Año,Dirigido
3,1058,1,Año,Dirigido
3,1059,1,Año,Dirigido
3,1061,1,Año,Dirigido
3,1065,1,Año,Dirigido
3,1066,1,Año,Dirigido
3,1067,1,Año,Dirigido
3,1070,1,Año,Dirigido
3,1073,1,Año,Dirigido
3,1074,1,Año,Dirigido
3,1075,1,Año,Dirigido
3,1080,1,Año,Dirigido
3,1089,1,Año,Dirigido
3,1108,1,Año,Dirigido
3,1170,1,Año,Dirigido
3,1171,1,Año,Dirigido
3,1172,1,Año,Dirigido
3,1173,1,Año,Dirigido
3,1174,1,Año,Dirigido
3,1175,1,Año,Dirigido
3,1176,1,Año,Dirigido
3,1177,1,Año,Dirigido
3,1178,1,Año,Dirigido
3,1179,1,Año,Dirigido
3,1180,1,Año,Dirigido
3,1182,1,Año,Dirigido
3,1183,1,Año,Dirigido
3,1184,1,Año,Dirigido
3,1185,1,Año,Dirigido
3,1187,1,Año,Dirigido
3,1188,1,Año,Dirigido
3,1189,1,Año,Dirigido
3,1190,1,Año,Dirigido
3,1191,1,Año,Dirigido
3,1192,1,Año,Dirigido
3,1193,1,Año,Dirigido
3,1194,1,Año,Dirigido
3,1195,1,Año,Dirigido
3,1196,1,Año,Dirigido
3,1197,1,Año,Dirigido
3,1198,1,Año,Dirigido
3,1199,1,Año,Dirigido
3,1202,1,Año,Dirigido
3,1203,1,Año,Dirigido
3,1205,1,Año,Dirigido
3,1206,1,Año,Dirigido
3,1207,1,Año,Dirigido
3,1211,1,Año,Dirigido
3,1214,1,Año,Dirigido
3,1215,1,Año,Dirigido
3,1217,1,Año,Dirigido
3,1222,1,Año,Dirigido
3,1223,1,Año,Dirigido
3,1224,1,Año,Dirigido
3,1231,1,Año,Dirigido
3,1233,1,Año,Dirigido
3,1253,1,Año,Dirigido
3,1264,1,Año,Dirigido
3,1265,1,Año,Dirigido
3,1266,1,Año,Dirigido
3,1270,1,Año,Dirigido
3,1273,1,Año,Dirigido
3,1275,1,Año,Dirigido
3,1445,1,Año,Dirigido
3,1449,1,Año,Dirigido
3,1460,1,Año,Dirigido
4,5,1,Año,Dirigido
4,7,1,Año,Dirigido
4,8,1,Año,Dirigido
4,14,1,Año,Dirigido
4,22,1,Año,Dirigido
4,25,1,Año,Dirigido
4,136,1,Año,Dirigido
4,142,1,Año,Dirigido
4,144,1,Año,Dirigido
4,148,1,Año,Dirigido
4,151,1,Año,Dirigido
4,160,1,Año,Dirigido
4,163,1,Año,Dirigido
4,166,1,Año,Dirigido
4,169,1,Año,Dirigido
4,185,1,Año,Dirigido
4,208,1,Año,Dirigido
4,223,1,Año,Dirigido
4,230,1,Año,Dirigido
4,233,1,Año,Dirigido
4,242,1,Año,Dirigido
4,250,1,Año,Dirigido
4,266,1,Año,Dirigido
4,269,1,Año,Dirigido
4,273,1,Año,Dirigido
4,274,1,Año,Dirigido
4,277,1,Año,Dirigido
4,285,1,Año,Dirigido
4,299,1,Año,Dirigido
4,335,1,Año,Dirigido
4,339,1,Año,Dirigido
4,351,1,Año,Dirigido
4,353,1,Año,Dirigido
4,356,1,Año,Dirigido
4,364,1,Año,Dirigido
4,372,1,Año,Dirigido
4,378,1,Año,Dirigido
4,381,1,Año,Dirigido
4,384,1,Año,Dirigido
4,388,1,Año,Dirigido
4,392,1,Año,Dirigido
4,393,1,Año,Dirigido
4,400,1,Año,Dirigido
4,401,1,Año,Dirigido
4,416,1,Año,Dirigido
4,500,1,Año,Dirigido
4,501,1,Año,Dirigido
4,502,1,Año,Dirigido
4,508,1,Año,Dirigido
4,509,1,Año,Dirigido
4,510,1,Año,Dirigido
4,512,1,Año,Dirigido
4,514,1,Año,Dirigido
4,516,1,Año,Dirigido
4,520,1,Año,Dirigido
4,522,1,Año,Dirigido
4,527,1,Año,Dirigido
4,658,1,Año,Dirigido
4,663,1,Año,Dirigido
4,664,1,Año,Dirigido
4,665,1,Año,Dirigido
4,666,1,Año,Dirigido
4,667,1,Año,Dirigido
4,668,1,Año,Dirigido
4,669,1,Año,Dirigido
4,670,1,Año,Dirigido
4,673,1,Año,Dirigido
4,674,1,Año,Dirigido
4,676,1,Año,Dirigido
4,677,1,Año,Dirigido
4,678,1,Año,Dirigido
4,679,1,Año,Dirigido
4,680,1,Año,Dirigido
4,681,1,Año,Dirigido
4,682,1,Año,Dirigido
4,687,1,Año,Dirigido
4,688,1,Año,Dirigido
4,690,1,Año,Dirigido
4,691,1,Año,Dirigido
4,692,1,Año,Dirigido
4,693,1,Año,Dirigido
4,694,1,Año,Dirigido
4,695,1,Año,Dirigido
4,700,1,Año,Dirigido
4,701,1,Año,Dirigido
4,704,1,Año,Dirigido
4,707,1,Año,Dirigido
4,709,1,Año,Dirigido
